Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 14:30:00+00:00,274.1000061035156,248.46780395507812,289.4599914550781,622.3699951171875,112.35099792480469,274.739990234375,249.62989807128906,291.6940002441406,629.5599975585938,113.56800842285156,269.79998779296875,247.8300018310547,287.8800048828125,621.8101196289062,111.2800064086914,269.80999755859375,248.44500732421875,288.20001220703125,628.125,111.875,9244708,3730327,2757570,2509903,559122
2025-11-11 15:30:00+00:00,272.5,247.5800018310547,289.1499938964844,622.3699951171875,112.5060043334961,274.3460998535156,248.9600067138672,290.3550109863281,623.9600219726562,112.89200592041016,272.42999267578125,247.5449981689453,288.7900085449219,619.4000244140625,112.25699615478516,274.1000061035156,248.4573974609375,289.4049987792969,622.3651123046875,112.33299255371094,3452496,2380534,975039,1416358,176573
2025-11-11 16:30:00+00:00,273.31500244140625,248.26829528808594,290.0199890136719,623.3800048828125,112.41899108886719,273.614990234375,248.47999572753906,290.6000061035156,625.5999755859375,112.55899810791016,271.7799987792969,247.22999572753906,288.7699890136719,621.732177734375,111.88999938964844,272.510009765625,247.60000610351562,289.17999267578125,622.4000244140625,112.49949645996094,2525614,1320221,831517,846209,181061
2025-11-11 17:30:00+00:00,274.4800109863281,249.3260040283203,289.7900085449219,624.1300048828125,113.0689926147461,274.70001220703125,249.38999938964844,290.20001220703125,624.64990234375,113.19999694824219,273.0299987792969,248.0,289.2699890136719,623.2800903320312,112.40699768066406,273.3299865722656,248.2736053466797,290.0299987792969,623.3699951171875,112.40699768066406,2634766,1560683,614277,657328,208729
2025-11-11 18:30:00+00:00,275.32000732421875,249.3699951171875,290.5899963378906,625.02001953125,113.2750015258789,275.6600036621094,249.74989318847656,291.69000244140625,626.1500244140625,113.5999984741211,274.1600036621094,249.1042938232422,289.4200134277344,623.4000244140625,113.06099700927734,274.489990234375,249.30999755859375,289.79998779296875,624.1300048828125,113.08199310302734,3455305,1357003,1003383,783117,212113
2025-11-11 19:30:00+00:00,275.25,248.8800048828125,291.2099914550781,626.6500244140625,113.65400695800781,275.760009765625,249.5,291.3399963378906,626.8400268554688,113.74998474121094,275.04998779296875,248.82000732421875,290.5299987792969,625.0,113.23199462890625,275.3299865722656,249.42999267578125,290.5899963378906,625.1500244140625,113.2729263305664,2653431,1253534,756962,653056,195835
2025-11-11 20:30:00+00:00,275.29998779296875,249.13999938964844,291.7099914550781,627.1799926757812,113.65999603271484,275.8450012207031,249.47000122070312,292.3399963378906,628.0,113.92198181152344,274.79998779296875,248.75,291.080810546875,626.1801147460938,113.49000549316406,275.239990234375,248.8699951171875,291.2300109863281,626.5599975585938,113.65899658203125,4039713,1833631,1643758,1018218,966986
2025-11-12 14:30:00+00:00,272.94000244140625,245.9250030517578,287.5199890136719,614.5900268554688,113.90799713134766,275.239990234375,250.3699951171875,292.2699890136719,628.989990234375,114.15299987792969,271.8699951171875,245.5500030517578,286.20001220703125,614.0,112.8270034790039,275.07501220703125,250.18499755859375,292.1700134277344,628.405029296875,113.81700134277344,10718425,5045151,3474571,4427247,409424
